location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due
Anna Nagar,Corporate,Tamil,Ford,Aspire,2017,8,Diesel,Automatic,57880,Expired,Active,Major,Anna Nagar,4,54765,597,64765,180,No,No,No Response,No,Rebecca,No,276,Booked,OFF613,Free Wash,11-08-2025,No,No,No,No,No,No,Yes,No,Yes,9388,5,No,Poor Service,182,-2,0.0,121,39,True
Anna Nagar,Fleet,Hindi,Ford,Figo,2022,3,Diesel,Manual,103880,Active,Active,Major,Anna Nagar,8,101803,2808,111803,32,Yes,Yes,No Response,Yes,Adam,No,70,Call back later,OFF844,10% OFF Labour,19-07-2025,No,No,No,No,No,No,Yes,No,No,12098,3,No,Average,114,-52,147.0,-8,32,True
T Nagar,Fleet,English,Maruti,Swift,2018,7,Diesel,Automatic,35166,Expired,Active,Minor,T Nagar,2,32955,414,42955,180,Yes,Yes,No Response,Yes,Lisa,No,222,Call back later,OFF266,Free Wash,16-08-2025,Yes,No,No,Yes,No,No,No,No,No,7314,3,No,Unresponsive,283,-103,206.0,282,36,True
Velachery,Retail,Hindi,Hyundai,Creta,2021,4,Diesel,Manual,33081,Expired,Active,Major,Velachery,10,31966,675,41966,239,No,Yes,Busy,No,Linda,No,188,Call back later,OFF602,10% OFF Labour,25-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7853,5,No,Unresponsive,265,4,0.0,320,-67,True
T Nagar,Retail,Hindi,Hyundai,Creta,2022,3,Electric,Manual,44741,Active,Expired,Minor,T Nagar,5,42107,1209,52107,180,No,No,Denied,Yes,James,No,145,Booked,OFF446,10% OFF Labour,09-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,12946,5,No,Smooth Process,283,-103,32.0,280,34,True
OMR,Fleet,Hindi,Ford,Aspire,2021,4,Electric,Manual,24663,Expired,Active,Minor,OMR,6,21278,503,31278,180,Yes,No,Busy,Yes,Jeanne,No,216,Booked,OFF466,Free Wash,19-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3333,2,No,Unresponsive,281,-101,38.0,279,41,True
OMR,Fleet,Hindi,Hyundai,i20,2022,3,Electric,Automatic,77490,Active,Expired,Minor,OMR,6,76422,2094,86422,180,No,Yes,No Response,No,Steven,No,149,Already serviced,OFF509,10% OFF Labour,26-07-2025,No,No,No,No,No,No,No,No,No,13073,2,Yes,Satisfied,186,-6,0.0,182,36,True
OMR,Corporate,Tamil,Maruti,Baleno,2020,5,Diesel,Automatic,20455,Expired,Expired,Major,OMR,7,18233,335,28233,-114,No,No,Positive,No,Karen,Yes,82,Booked,OFF329,10% OFF Labour,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9782,1,No,Delayed Pickup,202,67,0.0,171,-128,False
OMR,Fleet,English,Honda,City,2020,5,Diesel,Automatic,38885,Expired,Expired,Major,OMR,3,34106,637,44106,32,No,Yes,No Response,Yes,John,No,63,Not interested,OFF486,Engine Oil Discount,08-08-2025,No,No,No,No,No,No,Yes,No,No,13583,2,No,Average,114,-52,147.0,23,34,True
OMR,Fleet,Tamil,Honda,City,2018,7,Petrol,Manual,39769,Expired,Expired,Minor,OMR,4,35441,468,45441,-27,Yes,Yes,Positive,Yes,Jason,Yes,122,Not interested,OFF144,15% OFF AMC,14-08-2025,No,No,No,No,No,No,Yes,Yes,No,3882,4,No,Satisfied,81,10,32.0,20,36,False
OMR,Retail,Hindi,Ford,Aspire,2022,3,Diesel,Automatic,62941,Active,Active,Minor,OMR,7,58033,1701,68033,180,No,Yes,No Response,No,Sarah,No,185,Already serviced,OFF156,10% OFF Labour,10-08-2025,No,No,No,No,No,No,No,No,No,6762,2,No,Average,184,-4,0.0,180,-128,True
Anna Nagar,Corporate,Hindi,Ford,Figo,2022,3,Diesel,Manual,75382,Active,Active,Minor,Anna Nagar,10,72404,2037,82404,239,Yes,Yes,Busy,Yes,Robert,No,194,Already serviced,OFF528,Free Wash,15-08-2025,No,No,No,No,No,No,No,No,No,10371,4,No,Satisfied,234,5,175.0,289,34,True
OMR,Retail,English,Honda,Jazz,2016,9,Petrol,Automatic,29548,Expired,Active,Minor,OMR,5,25909,271,35909,417,Yes,No,No Response,No,Jeffrey,No,267,Booked,OFF202,Free Wash,15-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9047,4,No,Satisfied,271,-177,0.0,241,-6,True
Anna Nagar,Fleet,English,Maruti,Dzire,2018,7,Petrol,Manual,60353,Expired,Active,Major,Anna Nagar,2,56770,710,66770,180,No,No,Positive,No,Brian,Yes,127,Call back later,OFF136,Free Wash,26-07-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,6191,4,No,Average,164,16,0.0,162,-67,False
OMR,Corporate,Tamil,Ford,Figo,2015,10,Electric,Automatic,112528,Expired,Active,Minor,OMR,6,109064,930,119064,180,No,Yes,Denied,No,Sandra,No,76,Already serviced,OFF959,Free Wash,26-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,10629,3,No,Smooth Process,74,106,0.0,72,42,False
OMR,Retail,Hindi,Honda,City,2015,10,Electric,Automatic,95344,Expired,Active,Major,OMR,8,90703,788,100703,5,No,No,Denied,Yes,Paul,No,237,Not interested,OFF564,10% OFF Labour,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,7666,1,No,Unresponsive,174,-24,175.0,85,37,True
T Nagar,Fleet,Tamil,Hyundai,i10,2017,8,Electric,Automatic,72685,Expired,Active,Major,T Nagar,3,68120,749,78120,180,Yes,No,Denied,No,Patrick,No,111,Not interested,OFF701,Free Wash,09-08-2025,No,No,No,No,No,No,No,No,No,13260,2,No,Delayed Pickup,169,120,0.0,165,-67,False
Anna Nagar,Retail,Tamil,Ford,EcoSport,2022,3,Electric,Manual,78388,Active,Active,Major,Anna Nagar,5,76070,2119,86070,180,No,Yes,Positive,No,Penny,Yes,181,Booked,OFF461,Free Wash,19-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,6893,4,No,Unresponsive,311,-131,0.0,310,-128,True
Velachery,Fleet,Hindi,Honda,Jazz,2018,7,Diesel,Automatic,11031,Expired,Expired,Major,Velachery,2,6196,130,16196,180,Yes,No,Busy,Yes,Madeline,No,192,Already serviced,OFF908,10% OFF Labour,27-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,4261,3,Yes,Average,228,-48,10.0,227,14,True
Anna Nagar,Fleet,Hindi,Honda,City,2018,7,Diesel,Automatic,25570,Expired,Expired,Major,Anna Nagar,3,23240,301,33240,180,No,No,Busy,Yes,Catherine,No,40,Call back later,OFF259,15% OFF AMC,05-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,6008,1,No,Average,370,-190,86.0,366,116,True
Anna Nagar,Corporate,Tamil,Toyota,Etios,2015,10,Diesel,Manual,52368,Expired,Expired,Minor,Anna Nagar,7,48353,433,58353,-57,No,Yes,Positive,Yes,Shane,Yes,200,Call back later,OFF582,15% OFF AMC,12-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10357,1,No,Poor Service,143,-23,14.0,51,15,True
T Nagar,Retail,English,Honda,Amaze,2022,3,Electric,Automatic,79721,Active,Expired,Minor,T Nagar,8,77304,2155,87304,180,Yes,No,Busy,Yes,James,No,244,Booked,OFF346,Free Wash,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8141,5,No,Delayed Pickup,191,-11,36.0,187,37,True
OMR,Corporate,Tamil,Ford,EcoSport,2016,9,Petrol,Manual,74542,Expired,Active,Major,OMR,5,71040,684,81040,-113,Yes,Yes,Positive,No,Linda,Yes,140,Already serviced,OFF944,Free Wash,09-08-2025,No,No,No,No,No,No,Yes,Yes,No,4924,3,No,Satisfied,170,99,0.0,50,32,False
OMR,Corporate,Tamil,Maruti,Baleno,2020,5,Diesel,Automatic,55107,Expired,Active,Major,OMR,6,50555,903,60555,445,Yes,Yes,No Response,No,Luis,No,196,Already serviced,OFF893,Engine Oil Discount,09-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5520,3,Yes,Delayed Pickup,272,-208,0.0,533,18,True
Velachery,Fleet,Hindi,Toyota,Yaris,2020,5,Petrol,Manual,90149,Expired,Expired,Minor,Velachery,1,87637,1478,97637,180,Yes,Yes,No Response,Yes,Steven,No,174,Booked,OFF340,Engine Oil Discount,08-08-2025,No,No,No,No,No,No,No,No,No,13373,3,No,Delayed Pickup,253,-73,35.0,250,42,True
T Nagar,Corporate,English,Honda,City,2015,10,Diesel,Manual,87182,Expired,Expired,Minor,T Nagar,5,85968,721,95968,387,Yes,No,Positive,Yes,Michael,Yes,259,Not interested,OFF625,10% OFF Labour,27-07-2025,No,No,No,No,No,No,Yes,Yes,No,10835,4,Yes,Satisfied,239,-148,39.0,445,43,True
Velachery,Retail,Hindi,Toyota,Innova,2018,7,Diesel,Manual,54623,Expired,Active,Major,Velachery,8,50939,643,60939,32,Yes,Yes,Busy,Yes,Monique,No,227,Already serviced,OFF988,Free Wash,21-07-2025,No,No,No,No,No,No,Yes,No,Yes,12358,2,Yes,Satisfied,51,11,14.0,-41,17,False
OMR,Corporate,Tamil,Maruti,Baleno,2020,5,Diesel,Automatic,20455,Expired,Expired,Major,OMR,7,18233,335,28233,-114,No,No,Positive,No,Karen,Yes,82,Booked,OFF329,10% OFF Labour,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5938,4,No,Delayed Pickup,202,67,0.0,143,-128,False
Anna Nagar,Corporate,Tamil,Hyundai,Creta,2015,10,Diesel,Automatic,80190,Expired,Expired,Minor,Anna Nagar,5,78867,663,88867,180,No,Yes,Busy,Yes,Melissa,No,259,Call back later,OFF271,Free Wash,14-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,8563,4,No,Satisfied,69,111,9.0,66,16,False
Velachery,Retail,Tamil,Maruti,Baleno,2021,4,Petrol,Manual,107157,Expired,Active,Minor,Velachery,9,102329,2187,112329,180,No,No,Busy,Yes,Heather,No,147,Already serviced,OFF683,Free Wash,11-08-2025,No,No,No,No,No,No,No,No,No,8872,3,No,Poor Service,45,120,-128.0,42,-37,False
Velachery,Retail,English,Honda,Jazz,2018,7,Electric,Manual,16880,Expired,Active,Major,Velachery,8,15469,199,25469,180,Yes,Yes,Busy,No,Michael,No,273,Already serviced,OFF766,Free Wash,30-07-2025,No,No,No,No,No,No,No,No,No,9715,2,Yes,Unresponsive,76,104,0.0,75,40,False
OMR,Retail,Tamil,Hyundai,i20,2016,9,Diesel,Manual,81847,Expired,Expired,Major,OMR,7,78792,751,88792,237,No,Yes,Busy,No,Dennis,No,131,Already serviced,OFF504,Free Wash,17-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,12893,5,No,Delayed Pickup,153,27,0.0,92,42,False
OMR,Fleet,Hindi,Ford,Aspire,2015,10,Electric,Manual,96765,Expired,Active,Minor,OMR,2,94058,800,104058,180,No,No,Positive,No,Jonathan,Yes,272,Call back later,OFF310,10% OFF Labour,06-08-2025,No,No,No,No,No,No,No,No,No,7814,4,Yes,Delayed Pickup,192,-12,0.0,189,38,True
T Nagar,Retail,Hindi,Ford,EcoSport,2015,10,Diesel,Automatic,72050,Expired,Active,Minor,T Nagar,1,67148,595,77148,153,No,No,No Response,Yes,Thomas,No,102,Booked,OFF380,Engine Oil Discount,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7567,2,No,Unresponsive,179,-174,33.0,151,34,True
OMR,Fleet,English,Hyundai,Creta,2019,6,Diesel,Automatic,104707,Expired,Expired,Major,OMR,5,103252,1434,113252,210,Yes,Yes,Positive,Yes,Alejandro,Yes,112,Booked,OFF505,Engine Oil Discount,08-08-2025,No,No,No,No,No,No,No,No,No,10261,4,No,Satisfied,57,-170,15.0,-65,-128,True
Velachery,Fleet,Tamil,Hyundai,Creta,2018,7,Petrol,Manual,33209,Expired,Expired,Major,Velachery,8,28574,391,38574,180,Yes,No,Denied,Yes,Jacob,No,224,Not interested,OFF503,10% OFF Labour,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12593,3,No,Average,69,111,35.0,66,40,False
OMR,Retail,Tamil,Hyundai,i20,2019,6,Electric,Manual,40366,Expired,Expired,Minor,OMR,4,37105,553,47105,180,Yes,Yes,Positive,Yes,Jeffrey,Yes,280,Booked,OFF478,Free Wash,28-07-2025,No,No,No,No,No,No,No,No,No,9936,2,No,Average,183,-3,39.0,180,40,True
Anna Nagar,Corporate,Hindi,Hyundai,i10,2017,8,Petrol,Automatic,13248,Expired,Active,Major,Anna Nagar,4,11156,137,21156,180,Yes,Yes,Denied,Yes,Martha,No,270,Call back later,OFF304,Engine Oil Discount,02-08-2025,No,No,No,No,No,No,No,No,No,10102,4,No,Poor Service,222,-42,10.0,221,17,True
Anna Nagar,Fleet,Tamil,Toyota,Etios,2015,10,Petrol,Automatic,102544,Expired,Active,Major,Anna Nagar,3,100265,847,110265,180,No,No,Positive,No,Samantha,Yes,270,Already serviced,OFF675,Free Wash,29-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11169,3,No,Poor Service,187,-7,0.0,184,33,True
Anna Nagar,Fleet,Tamil,Maruti,Dzire,2016,9,Electric,Automatic,58147,Expired,Expired,Major,Anna Nagar,2,55247,533,65247,180,No,No,Busy,Yes,Tim,No,264,Booked,OFF677,Engine Oil Discount,15-08-2025,Yes,No,No,Yes,No,No,No,No,No,14987,3,No,Smooth Process,141,39,36.0,137,39,False
OMR,Retail,Tamil,Hyundai,Creta,2019,6,Petrol,Automatic,22234,Expired,Expired,Major,OMR,6,18513,305,28513,180,Yes,Yes,Denied,No,Megan,No,149,Already serviced,OFF771,10% OFF Labour,23-07-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,4331,3,No,Smooth Process,259,-79,0.0,257,175,True
Anna Nagar,Retail,Tamil,Maruti,Swift,2022,3,Petrol,Manual,47095,Active,Active,Minor,Anna Nagar,5,46075,1273,56075,180,No,No,Positive,Yes,Allison,Yes,100,Not interested,OFF999,15% OFF AMC,08-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6364,3,No,Average,248,-68,18.0,247,-98,True
Velachery,Fleet,Hindi,Ford,Figo,2015,10,Electric,Automatic,81233,Expired,Expired,Minor,Velachery,7,79319,671,89319,180,No,Yes,Denied,Yes,Melvin,No,216,Booked,OFF778,Free Wash,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3085,4,No,Delayed Pickup,306,-126,-6.0,509,116,True
Anna Nagar,Retail,Tamil,Honda,Amaze,2017,8,Diesel,Automatic,11161,Expired,Active,Major,Anna Nagar,4,9814,115,19814,416,Yes,No,Positive,No,Dana,Yes,33,Call back later,OFF887,15% OFF AMC,15-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9691,5,Yes,Poor Service,240,-176,0.0,473,-128,True
Anna Nagar,Corporate,Hindi,Toyota,Innova,2018,7,Diesel,Manual,95398,Expired,Expired,Major,Anna Nagar,9,93115,1122,103115,34,Yes,No,Denied,No,Michael,No,293,Already serviced,OFF787,Free Wash,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,11349,3,No,Smooth Process,207,-86,0.0,87,18,True
Anna Nagar,Fleet,Tamil,Maruti,Dzire,2021,4,Petrol,Automatic,116298,Expired,Expired,Minor,Anna Nagar,7,114918,2373,124918,210,Yes,No,Denied,Yes,Tom,No,109,Already serviced,OFF639,10% OFF Labour,12-08-2025,No,No,No,No,No,No,No,No,No,14850,2,No,Poor Service,327,-29,116.0,297,34,True
Anna Nagar,Retail,Hindi,Hyundai,i20,2015,10,Diesel,Manual,101418,Expired,Active,Major,Anna Nagar,3,99377,838,109377,180,Yes,Yes,Positive,Yes,Michael,Yes,77,Already serviced,OFF507,10% OFF Labour,29-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,10231,3,No,Smooth Process,166,14,32.0,163,39,False
T Nagar,Fleet,English,Honda,Jazz,2018,7,Electric,Manual,16629,Expired,Expired,Minor,T Nagar,10,14789,196,24789,180,Yes,Yes,Busy,Yes,Cameron,No,105,Booked,OFF383,Free Wash,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4725,5,Yes,Average,73,107,-6.0,72,86,False
Anna Nagar,Fleet,Hindi,Honda,Jazz,2021,4,Petrol,Automatic,59996,Expired,Expired,Minor,Anna Nagar,1,57918,1224,67918,239,No,No,No Response,Yes,Kenneth,No,167,Booked,OFF254,10% OFF Labour,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8535,4,Yes,Unresponsive,265,4,175.0,322,37,True
OMR,Fleet,Tamil,Ford,EcoSport,2020,5,Electric,Automatic,60905,Expired,Expired,Minor,OMR,6,57460,998,67460,358,Yes,Yes,No Response,Yes,Stephen,No,271,Not interested,OFF885,Free Wash,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,12682,4,No,Unresponsive,332,-179,15.0,271,-67,True
OMR,Fleet,Tamil,Toyota,Innova,2020,5,Diesel,Automatic,50345,Expired,Active,Major,OMR,2,47769,825,57769,269,Yes,Yes,Denied,No,Sabrina,No,208,Already serviced,OFF750,15% OFF AMC,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5572,1,No,Poor Service,329,-90,0.0,414,33,True
Anna Nagar,Retail,Hindi,Maruti,Swift,2020,5,Petrol,Manual,80571,Expired,Expired,Minor,Anna Nagar,7,77245,1321,87245,386,No,No,Positive,No,Nicole,Yes,41,Not interested,OFF486,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,5141,4,No,Unresponsive,333,-210,0.0,535,36,True
Velachery,Fleet,English,Toyota,Yaris,2022,3,Electric,Automatic,65183,Active,Expired,Major,Velachery,3,64039,1762,74039,357,No,No,Positive,No,Joseph,Yes,116,Booked,OFF772,15% OFF AMC,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5261,4,No,Unresponsive,301,-178,0.0,240,36,True
OMR,Retail,Tamil,Toyota,Etios,2022,3,Petrol,Manual,96240,Active,Expired,Major,OMR,2,91614,2601,101614,180,Yes,No,No Response,No,Nathaniel,No,82,Call back later,OFF357,10% OFF Labour,22-07-2025,No,No,No,No,No,No,No,No,No,10850,4,No,Delayed Pickup,159,21,0.0,156,55,False
T Nagar,Corporate,Tamil,Honda,Amaze,2020,5,Electric,Manual,51482,Expired,Expired,Major,T Nagar,5,46880,844,56880,180,Yes,No,Denied,No,Erik,No,187,Booked,OFF760,10% OFF Labour,15-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3631,3,No,Average,104,76,0.0,100,-128,False
Velachery,Corporate,Tamil,Maruti,Swift,2022,3,Petrol,Manual,108848,Active,Active,Major,Velachery,2,104610,2942,114610,180,No,Yes,No Response,Yes,Megan,No,218,Not interested,OFF698,Engine Oil Discount,30-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,14174,2,Yes,Satisfied,345,-165,18.0,342,-67,True
OMR,Retail,Hindi,Hyundai,Creta,2021,4,Electric,Automatic,34057,Expired,Expired,Minor,OMR,8,32771,695,42771,180,Yes,Yes,Busy,Yes,Angela,No,76,Call back later,OFF706,Free Wash,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,13337,4,No,Average,224,-44,38.0,223,40,True
Velachery,Retail,Hindi,Maruti,Baleno,2018,7,Petrol,Manual,72676,Expired,Active,Major,Velachery,7,68801,855,78801,180,No,Yes,Busy,Yes,Andrew,No,258,Not interested,OFF179,10% OFF Labour,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,14463,2,Yes,Average,65,115,33.0,63,38,False
Velachery,Corporate,Tamil,Toyota,Innova,2015,10,Electric,Manual,109973,Expired,Active,Minor,Velachery,2,108330,909,118330,180,Yes,Yes,Positive,Yes,Courtney,Yes,239,Already serviced,OFF805,Engine Oil Discount,11-08-2025,No,No,No,No,No,No,Yes,No,Yes,7408,5,Yes,Delayed Pickup,232,66,86.0,230,116,False
OMR,Corporate,English,Toyota,Yaris,2016,9,Diesel,Automatic,46073,Expired,Expired,Major,OMR,2,44596,423,54596,180,Yes,Yes,Denied,Yes,Mario,No,275,Not interested,OFF810,10% OFF Labour,30-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11300,3,No,Unresponsive,186,-6,19.0,182,-128,True
OMR,Retail,Hindi,Maruti,Dzire,2020,5,Electric,Automatic,62260,Expired,Active,Major,OMR,6,60270,1021,70270,180,No,Yes,No Response,No,Jane,No,156,Call back later,OFF199,10% OFF Labour,07-08-2025,No,No,No,No,No,No,No,No,No,11064,1,No,Poor Service,285,-105,0.0,282,14,True
Velachery,Corporate,Hindi,Maruti,Dzire,2019,6,Diesel,Manual,45532,Expired,Expired,Major,Velachery,2,41301,624,51301,180,Yes,Yes,Busy,No,Tammy,No,105,Already serviced,OFF557,Engine Oil Discount,15-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8905,5,No,Average,343,-163,0.0,342,33,True
Velachery,Retail,Tamil,Honda,City,2018,7,Petrol,Manual,85407,Expired,Active,Minor,Velachery,9,80600,1005,90600,32,No,Yes,Denied,Yes,Stephanie,No,284,Booked,OFF515,10% OFF Labour,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6698,4,No,Poor Service,83,-51,17.0,22,-98,True
T Nagar,Retail,English,Honda,Amaze,2022,3,Electric,Automatic,79721,Active,Expired,Minor,T Nagar,8,77304,2155,87304,180,Yes,No,Busy,Yes,James,No,244,Booked,OFF346,Free Wash,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5960,5,No,Poor Service,191,-11,36.0,190,37,True
Anna Nagar,Fleet,Tamil,Honda,City,2019,6,Petrol,Manual,99024,Expired,Active,Major,Anna Nagar,10,98020,1356,108020,-114,No,Yes,Denied,Yes,Andrew,No,38,Not interested,OFF955,Free Wash,28-07-2025,Yes,No,No,Yes,No,No,Yes,Yes,Yes,4319,3,No,Smooth Process,202,67,147.0,143,175,False
Anna Nagar,Fleet,Hindi,Maruti,Dzire,2021,4,Electric,Manual,78454,Expired,Active,Major,Anna Nagar,3,76470,1601,86470,180,Yes,No,Denied,No,Matthew,No,193,Booked,OFF749,Free Wash,03-08-2025,No,No,No,No,No,No,No,No,No,5237,3,Yes,Average,167,13,0.0,164,34,False
Anna Nagar,Fleet,Hindi,Honda,City,2017,8,Electric,Manual,62028,Expired,Expired,Minor,Anna Nagar,6,60764,639,70764,239,No,No,Denied,Yes,Heidi,No,273,Booked,OFF385,Engine Oil Discount,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7256,4,Yes,Delayed Pickup,265,4,25.0,235,206,True
Velachery,Corporate,Tamil,Hyundai,Creta,2022,3,Electric,Manual,96356,Active,Active,Major,Velachery,2,92004,2604,102004,299,Yes,No,Busy,Yes,Anthony,No,42,Booked,OFF350,Engine Oil Discount,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,14576,3,No,Poor Service,330,-120,16.0,445,18,True
Velachery,Fleet,Hindi,Maruti,Baleno,2019,6,Petrol,Manual,108616,Expired,Expired,Minor,Velachery,5,104248,1488,114248,180,No,No,Denied,Yes,James,No,292,Call back later,OFF986,Engine Oil Discount,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,11594,3,No,Smooth Process,225,-45,18.0,222,-67,True
Velachery,Fleet,Hindi,Toyota,Yaris,2017,8,Petrol,Manual,103853,Expired,Expired,Minor,Velachery,4,102674,1071,112674,180,Yes,Yes,No Response,No,Craig,No,293,Already serviced,OFF934,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,10736,2,Yes,Poor Service,251,-71,0.0,250,-98,True
Velachery,Retail,English,Maruti,Dzire,2021,4,Petrol,Automatic,24208,Expired,Active,Minor,Velachery,10,20019,494,30019,180,No,Yes,Busy,No,Veronica,No,113,Booked,OFF166,Free Wash,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3684,2,No,Satisfied,75,105,0.0,71,32,False
OMR,Fleet,Hindi,Maruti,Dzire,2015,10,Diesel,Manual,50685,Expired,Expired,Major,OMR,1,48175,419,58175,35,No,Yes,Positive,No,Kayla,Yes,266,Booked,OFF560,Free Wash,15-08-2025,No,No,No,No,No,No,No,No,No,7025,4,Yes,Satisfied,175,-54,0.0,55,-6,True
OMR,Retail,Tamil,Maruti,Baleno,2022,3,Electric,Manual,101388,Active,Active,Major,OMR,1,100006,2740,110006,2,No,No,Denied,No,Rodney,No,58,Booked,OFF819,Free Wash,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7201,3,No,Unresponsive,82,-21,0.0,-41,-37,True
T Nagar,Corporate,Hindi,Ford,EcoSport,2018,7,Petrol,Automatic,75647,Expired,Expired,Major,T Nagar,2,72850,890,82850,180,No,No,Positive,Yes,James,Yes,294,Not interested,OFF203,10% OFF Labour,05-08-2025,No,No,No,No,No,No,Yes,No,Yes,4882,2,Yes,Unresponsive,228,-48,13.0,225,15,True
OMR,Retail,Tamil,Maruti,Swift,2022,3,Electric,Automatic,29323,Active,Expired,Minor,OMR,10,27012,793,37012,358,No,Yes,No Response,No,Emily,No,140,Already serviced,OFF398,Engine Oil Discount,21-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3854,2,No,Average,332,-179,0.0,302,15,True
OMR,Fleet,Hindi,Toyota,Etios,2015,10,Petrol,Automatic,58559,Expired,Active,Major,OMR,4,54516,484,64516,180,Yes,No,No Response,Yes,Ricky,No,185,Call back later,OFF339,Engine Oil Discount,17-08-2025,No,No,No,No,No,No,Yes,No,Yes,11622,3,No,Poor Service,277,-97,36.0,568,37,True
T Nagar,Retail,English,Ford,Figo,2020,5,Petrol,Manual,45899,Expired,Active,Major,T Nagar,6,42633,752,52633,180,Yes,No,Busy,Yes,David,No,81,Already serviced,OFF896,Free Wash,11-08-2025,Yes,No,No,Yes,No,No,No,No,No,4650,2,No,Poor Service,128,52,34.0,124,36,False
T Nagar,Fleet,Hindi,Toyota,Innova,2022,3,Electric,Automatic,117978,Active,Active,Minor,T Nagar,8,114066,3189,124066,180,No,Yes,Positive,Yes,Richard,Yes,272,Booked,OFF864,Free Wash,17-08-2025,No,No,No,No,No,No,Yes,Yes,Yes,5744,4,Yes,Delayed Pickup,108,120,33.0,106,37,False
OMR,Retail,Hindi,Ford,Figo,2019,6,Petrol,Automatic,39083,Expired,Active,Major,OMR,5,34319,535,44319,180,Yes,Yes,Positive,No,Michael,Yes,212,Call back later,OFF241,15% OFF AMC,04-08-2025,No,No,No,No,No,No,Yes,No,Yes,7533,4,Yes,Satisfied,358,-121,0.0,297,39,True
