location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due,feedback_sentiment,service_urgent,predicted_urgency,customer_segment,personalized_message,preferred_channels
OMR,Corporate,Tamil,Maruti,Baleno,2020,5,Diesel,Automatic,20455,Expired,Expired,Major,OMR,7,18233,335,28233,-114,No,No,Positive,No,Karen,Yes,82,Booked,OFF329,10% OFF Labour,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5938,4,No,Delayed Pickup,200,69,0.0,141,-130,False,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in -114 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Tamil,Maruti,Baleno,2021,4,Petrol,Manual,107157,Expired,Active,Minor,Velachery,9,102329,2187,112329,180,No,No,Busy,Yes,Heather,No,147,Already serviced,OFF683,Free Wash,11-08-2025,No,No,No,No,No,No,No,No,No,8872,3,No,Poor Service,43,120,-130.0,40,-39,False,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,English,Honda,Jazz,2018,7,Electric,Manual,16880,Expired,Active,Major,Velachery,8,15469,199,25469,180,Yes,Yes,Busy,No,Michael,No,273,Already serviced,OFF766,Free Wash,30-07-2025,No,No,No,No,No,No,No,No,No,9715,2,Yes,Unresponsive,74,106,0.0,73,38,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Tamil,Hyundai,i20,2016,9,Diesel,Manual,81847,Expired,Expired,Major,OMR,7,78792,751,88792,237,No,Yes,Busy,No,Dennis,No,131,Already serviced,OFF504,Free Wash,17-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,12893,5,No,Delayed Pickup,151,29,0.0,90,40,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 237 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Hindi,Ford,Aspire,2015,10,Electric,Manual,96765,Expired,Active,Minor,OMR,2,94058,800,104058,180,No,No,Positive,No,Jonathan,Yes,272,Call back later,OFF310,10% OFF Labour,06-08-2025,No,No,No,No,No,No,No,No,No,7814,4,Yes,Delayed Pickup,190,-10,0.0,187,36,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,Hindi,Ford,EcoSport,2015,10,Diesel,Automatic,72050,Expired,Active,Minor,T Nagar,1,67148,595,77148,153,No,No,No Response,Yes,Thomas,No,102,Booked,OFF380,Engine Oil Discount,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7567,2,No,Unresponsive,177,-172,31.0,149,32,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 153 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Tamil,Hyundai,i20,2019,6,Electric,Manual,40366,Expired,Expired,Minor,OMR,4,37105,553,47105,180,Yes,Yes,Positive,Yes,Jeffrey,Yes,280,Booked,OFF478,Free Wash,28-07-2025,No,No,No,No,No,No,No,No,No,9936,2,No,Average,181,-1,37.0,178,38,True,-0.15,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Hyundai,i10,2017,8,Petrol,Automatic,13248,Expired,Active,Major,Anna Nagar,4,11156,137,21156,180,Yes,Yes,Denied,Yes,Martha,No,270,Call back later,OFF304,Engine Oil Discount,02-08-2025,No,No,No,No,No,No,No,No,No,10102,4,No,Poor Service,220,-40,8.0,219,15,True,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Toyota,Etios,2015,10,Petrol,Automatic,102544,Expired,Active,Major,Anna Nagar,3,100265,847,110265,180,No,No,Positive,No,Samantha,Yes,270,Already serviced,OFF675,Free Wash,29-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11169,3,No,Poor Service,185,-5,0.0,182,31,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Hindi,Ford,Figo,2015,10,Electric,Automatic,81233,Expired,Expired,Minor,Velachery,7,79319,671,89319,180,No,Yes,Denied,Yes,Melvin,No,216,Booked,OFF778,Free Wash,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3085,4,No,Delayed Pickup,304,-124,-8.0,507,114,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,Tamil,Honda,Amaze,2017,8,Diesel,Automatic,11161,Expired,Active,Major,Anna Nagar,4,9814,115,19814,416,Yes,No,Positive,No,Dana,Yes,33,Call back later,OFF887,15% OFF AMC,15-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9691,5,Yes,Poor Service,238,-174,0.0,471,-130,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 416 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Toyota,Innova,2018,7,Diesel,Manual,95398,Expired,Expired,Major,Anna Nagar,9,93115,1122,103115,34,Yes,No,Denied,No,Michael,No,293,Already serviced,OFF787,Free Wash,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,11349,3,No,Smooth Process,205,-84,0.0,85,16,True,0.4,1,1,High Priority,"Dear Corporate Customer,

Your vehicle needs servicing soon. Please book promptly for preferred slots.
Service is due in 34 days.

Best regards,
AutoMoto AI Service Team","['WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Maruti,Dzire,2021,4,Petrol,Automatic,116298,Expired,Expired,Minor,Anna Nagar,7,114918,2373,124918,210,Yes,No,Denied,Yes,Tom,No,109,Already serviced,OFF639,10% OFF Labour,12-08-2025,No,No,No,No,No,No,No,No,No,14850,2,No,Poor Service,325,-27,114.0,295,32,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 210 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Hindi,Honda,Jazz,2021,4,Petrol,Automatic,59996,Expired,Expired,Minor,Anna Nagar,1,57918,1224,67918,239,No,No,No Response,Yes,Kenneth,No,167,Booked,OFF254,10% OFF Labour,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8535,4,Yes,Unresponsive,263,6,173.0,320,35,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 239 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Tamil,Ford,EcoSport,2020,5,Electric,Automatic,60905,Expired,Expired,Minor,OMR,6,57460,998,67460,358,Yes,Yes,No Response,Yes,Stephen,No,271,Not interested,OFF885,Free Wash,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,12682,4,No,Unresponsive,330,-177,13.0,269,-69,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 358 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Tamil,Toyota,Innova,2020,5,Diesel,Automatic,50345,Expired,Active,Major,OMR,2,47769,825,57769,269,Yes,Yes,Denied,No,Sabrina,No,208,Already serviced,OFF750,15% OFF AMC,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5572,1,No,Poor Service,327,-88,0.0,412,31,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 269 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,Hindi,Maruti,Swift,2020,5,Petrol,Manual,80571,Expired,Expired,Minor,Anna Nagar,7,77245,1321,87245,386,No,No,Positive,No,Nicole,Yes,41,Not interested,OFF486,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,5141,4,No,Unresponsive,331,-208,0.0,533,34,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 386 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,English,Toyota,Yaris,2022,3,Electric,Automatic,65183,Active,Expired,Major,Velachery,3,64039,1762,74039,357,No,No,Positive,No,Joseph,Yes,116,Booked,OFF772,15% OFF AMC,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5261,4,No,Unresponsive,299,-176,0.0,238,34,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 357 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Tamil,Toyota,Etios,2022,3,Petrol,Manual,96240,Active,Expired,Major,OMR,2,91614,2601,101614,180,Yes,No,No Response,No,Nathaniel,No,82,Call back later,OFF357,10% OFF Labour,22-07-2025,No,No,No,No,No,No,No,No,No,10850,4,No,Delayed Pickup,157,23,0.0,154,53,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,Tamil,Maruti,Swift,2022,3,Petrol,Manual,108848,Active,Active,Major,Velachery,2,104610,2942,114610,180,No,Yes,No Response,Yes,Megan,No,218,Not interested,OFF698,Engine Oil Discount,30-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,14174,2,Yes,Satisfied,343,-163,16.0,340,-69,True,0.5,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Hindi,Maruti,Baleno,2018,7,Petrol,Manual,72676,Expired,Active,Major,Velachery,7,68801,855,78801,180,No,Yes,Busy,Yes,Andrew,No,258,Not interested,OFF179,10% OFF Labour,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,14463,2,Yes,Average,63,117,31.0,61,36,False,-0.15,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,Tamil,Toyota,Innova,2015,10,Electric,Manual,109973,Expired,Active,Minor,Velachery,2,108330,909,118330,180,Yes,Yes,Positive,Yes,Courtney,Yes,239,Already serviced,OFF805,Engine Oil Discount,11-08-2025,No,No,No,No,No,No,Yes,No,Yes,7408,5,Yes,Delayed Pickup,230,68,84.0,228,114,False,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Corporate,English,Toyota,Yaris,2016,9,Diesel,Automatic,46073,Expired,Expired,Major,OMR,2,44596,423,54596,180,Yes,Yes,Denied,Yes,Mario,No,275,Not interested,OFF810,10% OFF Labour,30-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11300,3,No,Unresponsive,184,-4,17.0,180,-130,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Hindi,Maruti,Dzire,2020,5,Electric,Automatic,62260,Expired,Active,Major,OMR,6,60270,1021,70270,180,No,Yes,No Response,No,Jane,No,156,Call back later,OFF199,10% OFF Labour,07-08-2025,No,No,No,No,No,No,No,No,No,11064,1,No,Poor Service,283,-103,0.0,280,12,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Tamil,Honda,City,2018,7,Petrol,Manual,85407,Expired,Active,Minor,Velachery,9,80600,1005,90600,32,No,Yes,Denied,Yes,Stephanie,No,284,Booked,OFF515,10% OFF Labour,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6698,4,No,Poor Service,81,-49,15.0,20,-100,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 32 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,English,Honda,Amaze,2022,3,Electric,Automatic,79721,Active,Expired,Minor,T Nagar,8,77304,2155,87304,180,Yes,No,Busy,Yes,James,No,244,Booked,OFF346,Free Wash,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5960,5,No,Poor Service,189,-9,34.0,188,35,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Honda,City,2019,6,Petrol,Manual,99024,Expired,Active,Major,Anna Nagar,10,98020,1356,108020,-114,No,Yes,Denied,Yes,Andrew,No,38,Not interested,OFF955,Free Wash,28-07-2025,Yes,No,No,Yes,No,No,Yes,Yes,Yes,4319,3,No,Smooth Process,200,69,145.0,141,173,False,0.4,1,1,High Priority,"Dear Fleet Customer,

Your vehicle needs servicing soon. Please book promptly for preferred slots.
Service is due in -114 days.

Best regards,
AutoMoto AI Service Team","['WhatsApp', 'Email']"
Anna Nagar,Fleet,Hindi,Honda,City,2017,8,Electric,Manual,62028,Expired,Expired,Minor,Anna Nagar,6,60764,639,70764,239,No,No,Denied,Yes,Heidi,No,273,Booked,OFF385,Engine Oil Discount,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7256,4,Yes,Delayed Pickup,263,6,23.0,233,204,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 239 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,Tamil,Hyundai,Creta,2022,3,Electric,Manual,96356,Active,Active,Major,Velachery,2,92004,2604,102004,299,Yes,No,Busy,Yes,Anthony,No,42,Booked,OFF350,Engine Oil Discount,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,14576,3,No,Poor Service,328,-118,14.0,443,16,True,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 299 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Hindi,Toyota,Yaris,2017,8,Petrol,Manual,103853,Expired,Expired,Minor,Velachery,4,102674,1071,112674,180,Yes,Yes,No Response,No,Craig,No,293,Already serviced,OFF934,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,10736,2,Yes,Poor Service,249,-69,0.0,248,-100,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,English,Maruti,Dzire,2021,4,Petrol,Automatic,24208,Expired,Active,Minor,Velachery,10,20019,494,30019,180,No,Yes,Busy,No,Veronica,No,113,Booked,OFF166,Free Wash,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3684,2,No,Satisfied,73,107,0.0,69,30,False,0.5,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Hindi,Maruti,Dzire,2015,10,Diesel,Manual,50685,Expired,Expired,Major,OMR,1,48175,419,58175,35,No,Yes,Positive,No,Kayla,Yes,266,Booked,OFF560,Free Wash,15-08-2025,No,No,No,No,No,No,No,No,No,7025,4,Yes,Satisfied,173,-52,0.0,53,-8,True,0.5,1,1,High Priority,"Dear Fleet Customer,

Your vehicle needs servicing soon. Please book promptly for preferred slots.
Service is due in 35 days.

Best regards,
AutoMoto AI Service Team","['WhatsApp', 'Email']"
OMR,Retail,Tamil,Maruti,Baleno,2022,3,Electric,Manual,101388,Active,Active,Major,OMR,1,100006,2740,110006,2,No,No,Denied,No,Rodney,No,58,Booked,OFF819,Free Wash,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7201,3,No,Unresponsive,80,-19,0.0,-43,-39,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 2 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Corporate,Hindi,Ford,EcoSport,2018,7,Petrol,Automatic,75647,Expired,Expired,Major,T Nagar,2,72850,890,82850,180,No,No,Positive,Yes,James,Yes,294,Not interested,OFF203,10% OFF Labour,05-08-2025,No,No,No,No,No,No,Yes,No,Yes,4882,2,Yes,Unresponsive,226,-46,11.0,223,13,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Tamil,Maruti,Swift,2022,3,Electric,Automatic,29323,Active,Expired,Minor,OMR,10,27012,793,37012,358,No,Yes,No Response,No,Emily,No,140,Already serviced,OFF398,Engine Oil Discount,21-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3854,2,No,Average,330,-177,0.0,300,13,True,-0.15,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 358 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Hindi,Toyota,Etios,2015,10,Petrol,Automatic,58559,Expired,Active,Major,OMR,4,54516,484,64516,180,Yes,No,No Response,Yes,Ricky,No,185,Call back later,OFF339,Engine Oil Discount,17-08-2025,No,No,No,No,No,No,Yes,No,Yes,11622,3,No,Poor Service,275,-95,34.0,566,35,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,English,Ford,Figo,2020,5,Petrol,Manual,45899,Expired,Active,Major,T Nagar,6,42633,752,52633,180,Yes,No,Busy,Yes,David,No,81,Already serviced,OFF896,Free Wash,11-08-2025,Yes,No,No,Yes,No,No,No,No,No,4650,2,No,Poor Service,126,54,32.0,122,34,False,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Hindi,Toyota,Innova,2022,3,Electric,Automatic,117978,Active,Active,Minor,T Nagar,8,114066,3189,124066,180,No,Yes,Positive,Yes,Richard,Yes,272,Booked,OFF864,Free Wash,17-08-2025,No,No,No,No,No,No,Yes,Yes,Yes,5744,4,Yes,Delayed Pickup,106,120,31.0,104,35,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,English,Honda,Amaze,2019,6,Diesel,Automatic,44701,Expired,Active,Minor,Anna Nagar,4,39921,612,49921,32,No,Yes,Denied,No,Christopher,No,59,Not interested,OFF106,Engine Oil Discount,31-07-2025,No,No,No,No,No,No,No,No,No,8515,5,Yes,Delayed Pickup,112,-50,0.0,82,173,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 32 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,Hindi,Ford,EcoSport,2016,9,Electric,Manual,61177,Expired,Expired,Minor,Anna Nagar,6,59139,561,69139,328,Yes,No,Positive,No,Ashley,Yes,153,Booked,OFF890,15% OFF AMC,14-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10439,3,Yes,Poor Service,266,-86,0.0,411,36,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 328 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,English,Toyota,Yaris,2017,8,Petrol,Automatic,33784,Expired,Active,Minor,Velachery,7,32380,348,42380,150,No,Yes,Denied,No,Jerome,No,162,Already serviced,OFF947,10% OFF Labour,25-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3269,3,No,Unresponsive,148,32,0.0,26,34,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 150 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Hindi,Toyota,Innova,2019,6,Electric,Automatic,77760,Expired,Expired,Major,T Nagar,6,73742,1065,83742,121,No,Yes,Denied,Yes,Marie,No,106,Booked,OFF335,Free Wash,28-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11644,1,Yes,Poor Service,147,-202,13.0,25,15,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 121 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,English,Maruti,Swift,2016,9,Electric,Manual,45697,Expired,Expired,Minor,Velachery,4,41882,419,51882,121,No,No,No Response,Yes,Donna,No,246,Not interested,OFF145,10% OFF Labour,07-08-2025,No,No,No,No,No,No,Yes,Yes,No,3984,4,No,Unresponsive,291,66,39.0,260,40,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 121 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,Tamil,Ford,Aspire,2022,3,Electric,Manual,25036,Active,Expired,Major,T Nagar,10,20274,677,30274,180,Yes,Yes,No Response,No,Marcus,No,88,Already serviced,OFF362,15% OFF AMC,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12690,1,No,Delayed Pickup,139,41,0.0,136,173,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,English,Hyundai,i10,2022,3,Electric,Automatic,17122,Active,Expired,Minor,T Nagar,10,14259,463,24259,180,Yes,No,No Response,Yes,Jason,No,129,Not interested,OFF376,Free Wash,26-07-2025,No,No,No,No,No,No,Yes,No,Yes,10054,2,Yes,Average,44,120,36.0,43,40,False,-0.15,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Tamil,Maruti,Dzire,2016,9,Petrol,Automatic,59454,Expired,Expired,Major,Velachery,5,55019,545,65019,62,No,Yes,Busy,Yes,Perry,No,172,Call back later,OFF960,Engine Oil Discount,28-07-2025,No,No,No,No,No,No,No,No,No,12748,1,Yes,Delayed Pickup,352,3,14.0,260,-69,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 62 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Tamil,Hyundai,Creta,2016,9,Electric,Automatic,68540,Expired,Active,Major,T Nagar,4,64701,629,74701,356,Yes,No,No Response,Yes,Sarah,No,30,Booked,OFF495,Engine Oil Discount,16-08-2025,No,No,No,No,No,No,Yes,Yes,Yes,7679,2,No,Delayed Pickup,362,-182,173.0,270,34,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 356 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Maruti,Baleno,2015,10,Petrol,Automatic,62640,Expired,Expired,Minor,Anna Nagar,8,61339,518,71339,180,Yes,No,Busy,Yes,Erica,No,170,Not interested,OFF490,15% OFF AMC,30-07-2025,No,No,No,No,No,No,No,No,No,9847,2,No,Satisfied,218,-38,-8.0,217,53,True,0.5,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
