location,customer_type,make,model,year_of_purchase,customer_feedback,feedback_score,next_service_due_days,customer_segment,tailored_message,comms_protocol,telecaller_name
Anna Nagar,Retail,Hyundai,Creta,2019,Delayed Pickup,4,180,Medium Priority,"Dear Retail Customer,

We hope you're enjoying your vehicle. Your Hyundai Creta is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: 10% OFF Labour (Code: OFF949).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Michael
T Nagar,Fleet,Ford,Aspire,2020,Unresponsive,3,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Nicole
Velachery,Retail,Toyota,Innova,2018,Delayed Pickup,3,32,High Priority,"Dear Retail Customer,

We notice your vehicle is due for service soon. As a valued customer, we'd like to ensure you receive exceptional care. Your Toyota Innova is due for service in 32 days.
Our records show your last service was a major one - this will be a routine maintenance.

Special offer: Free Wash (Code: OFF988).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['WhatsApp', 'Email'], 'follow_up': 'Telecaller in 48h', 'escalation': 'Team lead'}",Monique
OMR,Fleet,Maruti,Dzire,2018,Smooth Process,2,32,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Dzire is due for service in 32 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Carol
Velachery,Retail,Honda,Jazz,2021,Average,2,416,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda Jazz is due for service in 416 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Frederick
OMR,Retail,Hyundai,Creta,2022,Smooth Process,2,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai Creta is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Brett
T Nagar,Corporate,Honda,City,2015,Poor Service,3,387,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda City is due for service in 387 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Michael
T Nagar,Retail,Ford,Aspire,2019,Poor Service,4,209,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 209 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Judith
Velachery,Fleet,Hyundai,Creta,2015,Delayed Pickup,4,180,Medium Priority,"Dear Fleet Customer,

We hope you're enjoying your vehicle. Your Hyundai Creta is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

Special offer: Engine Oil Discount (Code: OFF434).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Samuel
Anna Nagar,Fleet,Maruti,Baleno,2017,Smooth Process,2,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Baleno is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Jennifer
T Nagar,Fleet,Hyundai,Creta,2022,Delayed Pickup,4,180,Medium Priority,"Dear Fleet Customer,

We hope you're enjoying your vehicle. Your Hyundai Creta is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: 15% OFF AMC (Code: OFF327).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Michael
T Nagar,Retail,Ford,Figo,2016,Poor Service,3,445,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Figo is due for service in 445 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Patrick
Velachery,Fleet,Honda,Amaze,2017,Poor Service,5,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda Amaze is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Teresa
Velachery,Corporate,Toyota,Etios,2021,Unresponsive,3,180,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Etios is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Jeremy
OMR,Corporate,Maruti,Baleno,2019,Delayed Pickup,1,-84,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Baleno is due for service in -84 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Brittany
Velachery,Fleet,Toyota,Yaris,2018,Smooth Process,2,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Yaris is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Lori
OMR,Corporate,Hyundai,Creta,2020,Poor Service,1,180,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai Creta is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Kathy
Anna Nagar,Fleet,Honda,City,2018,Unresponsive,4,210,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda City is due for service in 210 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Jackie
T Nagar,Fleet,Maruti,Dzire,2019,Poor Service,2,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Dzire is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Elaine
Anna Nagar,Corporate,Honda,Amaze,2019,Delayed Pickup,4,32,High Priority,"Dear Corporate Customer,

We notice your vehicle is due for service soon. As a valued customer, we'd like to ensure you receive exceptional care. Your Honda Amaze is due for service in 32 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: Engine Oil Discount (Code: OFF106).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['WhatsApp', 'Email'], 'follow_up': 'Telecaller in 48h', 'escalation': 'Team lead'}",Christopher
Anna Nagar,Retail,Hyundai,i10,2018,Unresponsive,4,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai i10 is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Terri
Velachery,Retail,Honda,Amaze,2017,Unresponsive,4,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda Amaze is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Alexis
T Nagar,Fleet,Ford,EcoSport,2019,Unresponsive,4,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford EcoSport is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Michelle
Anna Nagar,Retail,Honda,Jazz,2016,Unresponsive,4,298,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda Jazz is due for service in 298 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Matthew
OMR,Corporate,Ford,EcoSport,2017,Unresponsive,5,387,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford EcoSport is due for service in 387 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Terry
OMR,Corporate,Maruti,Dzire,2018,Unresponsive,5,180,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Dzire is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",John
OMR,Retail,Honda,City,2018,Unresponsive,4,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda City is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Christopher
OMR,Corporate,Hyundai,i20,2018,Delayed Pickup,1,207,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai i20 is due for service in 207 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Katherine
T Nagar,Fleet,Maruti,Swift,2018,Delayed Pickup,3,180,Medium Priority,"Dear Fleet Customer,

We hope you're enjoying your vehicle. Your Maruti Swift is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: Free Wash (Code: OFF266).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Lisa
T Nagar,Fleet,Toyota,Innova,2022,Delayed Pickup,4,180,Medium Priority,"Dear Fleet Customer,

We hope you're enjoying your vehicle. Your Toyota Innova is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: Free Wash (Code: OFF864).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Richard
Anna Nagar,Corporate,Ford,Aspire,2017,Poor Service,5,180,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Rebecca
Anna Nagar,Fleet,Ford,Figo,2022,Average,3,32,High Priority,"Dear Fleet Customer,

We notice your vehicle is due for service soon. As a valued customer, we'd like to ensure you receive exceptional care. Your Ford Figo is due for service in 32 days.
Our records show your last service was a major one - this will be a routine maintenance.

Special offer: 10% OFF Labour (Code: OFF844).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['WhatsApp', 'Email'], 'follow_up': 'Telecaller in 48h', 'escalation': 'Team lead'}",Adam
T Nagar,Fleet,Maruti,Swift,2018,Unresponsive,3,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Swift is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Lisa
Velachery,Retail,Hyundai,Creta,2021,Unresponsive,5,239,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai Creta is due for service in 239 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Linda
OMR,Fleet,Ford,Aspire,2021,Unresponsive,2,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Jeanne
OMR,Fleet,Hyundai,i20,2022,Satisfied,2,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai i20 is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Steven
OMR,Corporate,Maruti,Baleno,2020,Delayed Pickup,1,-114,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Baleno is due for service in -114 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Karen
OMR,Fleet,Honda,City,2020,Average,2,32,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda City is due for service in 32 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",John
OMR,Fleet,Honda,City,2018,Satisfied,4,-27,High Priority,"Dear Fleet Customer,

We notice your vehicle is due for service soon. As a valued customer, we'd like to ensure you receive exceptional care. Your Honda City is due for service in -27 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: 15% OFF AMC (Code: OFF144).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['WhatsApp', 'Email'], 'follow_up': 'Telecaller in 48h', 'escalation': 'Team lead'}",Jason
OMR,Retail,Ford,Aspire,2022,Average,2,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Sarah
OMR,Retail,Honda,City,2015,Unresponsive,1,5,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda City is due for service in 5 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Paul
T Nagar,Fleet,Hyundai,i10,2017,Delayed Pickup,2,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai i10 is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Patrick
Anna Nagar,Retail,Ford,EcoSport,2022,Unresponsive,4,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford EcoSport is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Penny
Anna Nagar,Fleet,Honda,City,2018,Average,1,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda City is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Catherine
Anna Nagar,Corporate,Toyota,Etios,2015,Poor Service,1,-57,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Etios is due for service in -57 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Shane
T Nagar,Retail,Honda,Amaze,2022,Delayed Pickup,5,180,Medium Priority,"Dear Retail Customer,

We hope you're enjoying your vehicle. Your Honda Amaze is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: Free Wash (Code: OFF346).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",James
OMR,Corporate,Ford,EcoSport,2016,Satisfied,3,-113,High Priority,"Dear Corporate Customer,

We notice your vehicle is due for service soon. As a valued customer, we'd like to ensure you receive exceptional care. Your Ford EcoSport is due for service in -113 days.
Our records show your last service was a major one - this will be a routine maintenance.

Special offer: Free Wash (Code: OFF944).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['WhatsApp', 'Email'], 'follow_up': 'Telecaller in 48h', 'escalation': 'Team lead'}",Linda
OMR,Corporate,Maruti,Baleno,2020,Delayed Pickup,3,445,Medium Priority,"Dear Corporate Customer,

We hope you're enjoying your vehicle. Your Maruti Baleno is due for service in 445 days.
Our records show your last service was a major one - this will be a routine maintenance.

Special offer: Engine Oil Discount (Code: OFF893).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Luis
Velachery,Fleet,Toyota,Yaris,2020,Delayed Pickup,3,180,Medium Priority,"Dear Fleet Customer,

We hope you're enjoying your vehicle. Your Toyota Yaris is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: Engine Oil Discount (Code: OFF340).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Steven
Velachery,Retail,Toyota,Innova,2018,Satisfied,2,32,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Innova is due for service in 32 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Monique
OMR,Corporate,Maruti,Baleno,2020,Delayed Pickup,4,-114,High Priority,"Dear Corporate Customer,

We notice your vehicle is due for service soon. As a valued customer, we'd like to ensure you receive exceptional care. Your Maruti Baleno is due for service in -114 days.
Our records show your last service was a major one - this will be a routine maintenance.

Special offer: 10% OFF Labour (Code: OFF329).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['WhatsApp', 'Email'], 'follow_up': 'Telecaller in 48h', 'escalation': 'Team lead'}",Karen
Velachery,Retail,Maruti,Baleno,2021,Poor Service,3,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Baleno is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Heather
Velachery,Retail,Honda,Jazz,2018,Unresponsive,2,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda Jazz is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Michael
